id_publisher,boardgamefamily_
1,Z-Man Games
2,Hans im Glück
3,KOSMOS
4,Repos Production
5,Rio Grande Games
6,Days of Wonder
7,Czech Games Edition
8,FryxGames
9,Lookout Games
10,alea
11,Space Cowboys
12,Stonemaier Games
13,Next Move Games
14,IELLO
15,Alderac Entertainment Group
16,2F-Spiele
17,Libellud
18,Wizards of the Coast
19,Cephalofair Games
20,Gamewright
21,Steve Jackson Games
22,GMT Games
23,Feuerland Spiele
24,ABACUSSPIELE
25,Plaid Hat Games
26,GameWorks SàRL
27,AMIGO
28,"Avalon Hill Games, Inc."
29,Indie Boards & Cards
30,Wise Wizard Games
31,Adventureland Games
32,Bombyx
33,Cool Mini Or Not
34,Fantasy Flight Games
35,Portal Games
36,Blue Orange (EU)
37,eggertspiele
38,"Greater Than Games, LLC"
39,Renegade Game Studios
40,Gen42 Games
41,(Unknown)
42,Leder Games
43,PD-Verlag
44,Roxley
45,Arcane Wonders
46,(Public Domain)
47,Floodgate Games
48,Queen Games
49,Schmidt Spiele
50,WizKids
51,Starling Games (II)
52,Grounding
53,dV Giochi
54,Ystari Games
55,Pegasus Spiele
56,Lautapelit.fi
57,Ludonaute
58,2 Pionki
59,"Ad Magic, Inc."
60,Calliope Games
61,Cards Against Humanity  LLC
62,dlp games
63,Educational Insights
64,Bézier Games
65,Nürnberger-Spielkarten-Verlag
66,Funforge
67,Parker Brothers
68,Blue Cocker Games
69,Goat Wolf & Cabbage
70,Upper Deck Entertainment
71,Garphill Games
72,Plan B Games
73,Pearl Games
74,R&D Games
75,Bambus Spieleverlag
76,Hobby World
77,Matagot
78,Serious Poulp
79,Stratelibri
80,3M
81,Sleuth Publications
82,Ravensburger
83,Hasbro
84,Czech Board Games
85,Eagle-Gryphon Games
86,"Beverly Enterprises, Inc."
87,Jolly Thinkers
88,Asmodee
89,Awaken Realms
90,CMON Global Limited
91,Sit Down!
92,conception
93,MindWare
94,Gamelyn Games
95,Lucky Duck Games
96,Karma Games
97,Thunderworks Games
98,Lui-même
99,Looney Labs
100,Hurrican
101,Dr. Finn's Games
102,Asmadi Games
103,Ammonit Spiele
104,Ares Games
105,Splotter Spellen
106,Horrible Guild
107,NSKN Games
108,Riot Games
109,Filosofia Éditions
110,Dire Wolf
111,Fireside Games
112,"Twilight Creations, Inc."
113,Brotherwise Games
114,Grey Fox Games
115,North Star Games
116,Clever Mojo Games
117,Le Scorpion Masqué
118,Carlit
119,Nexus Editrice
120,Atlas Games
121,Användbart Litet Företag
122,The Op
123,Sand Castle Games
124,Red Raven Games
125,Black Industries
126,Fata Morgana Spiele
127,Action Phase Games
