Id_category,Name_category
1,Medical
2,City Building
3,Economic
4,Ancient
5,Card Game
6,Trains
7,Animals
8,Fantasy
9,Abstract Strategy
10,Dice
11,Bluffing
12,Adventure
13,Environmental
14,Modern Warfare
15,Civilization
16,Deduction
17,American West
18,Age of Reason
19,Territory Building
20,Real-time
21,Arabian
22,Medieval
23,Word Game
24,Miniatures
25,Civil War
26,Aviation / Flight
27,Number
28,Maze
29,Travel
30,Farming
31,Post-Napoleonic
32,Exploration
33,Racing
34,Horror
35,Nautical
36,Action / Dexterity
37,Industry / Manufacturing
38,Party Game
39,Electronic
40,Movies / TV / Radio theme
41,Humor
42,Fighting
43,Children's Game
44,Renaissance
45,Prehistoric
46,Science Fiction
47,Political
48,Puzzle
49,Wargame
50,Negotiation
51,Mythology
52,Collectible Components
53,Spies/Secret Agents
54,American Civil War
55,Murder/Mystery
56,Novel-based
57,Educational
58,Napoleonic
59,Mafia
60,Math
61,Comic Book / Strip
62,Transportation
63,Book
64,American Indian Wars
65,Print & Play
66,Video Game Theme
67,Pirates
68,Sports
69,Religious
70,Mature / Adult
71,Korean War
72,Zombies
73,American Revolutionary War
74,Trivia
75,Pike and Shot
76,Memory
77,Space Exploration
78,Music
79,Vietnam War
80,World War II
81,Expansion for Base-game
